videoid,comments,sentiment
sjUxo7ylJPk,Why doesnt it say that its sponsored in the thumbnail?,0
7KHvKzpsQrA,I love his shirt/pocket square combo! Is that Alexander McQueen? Awesome!,1
unByRjDRA34,Omg...can you say OVERACTING?  Annoying squeaky voice....,-1
03IUgOd4GH4,Finally !! Been waiting this for so long !!!,0
NeSzAJv6naY,Why didn't the police just shoot the legs?,-1
CwfoyVa980U,Cool!!! hope you get 2B views,1
_PVVE2x4y-E,"Hiya, I sent you an email about helping me with my a level EPQ, would really appreciate if you reply as soon as possible xx",1
2QA57665QM0,sisteriknowthisisaterribletimebut  youhavetosmellthesehoneycrispapples,0
ZFF392vAMN8,Did she just use k pop in her opening songs? D.N.A ARMY!!,0
sjlHnJvXdQs,Over 1200 in Canada lmao,1
1cwuh3WDztU,Hes Absolutely stunning !!,1
_yIg9OTys6o,*rolls around the vid*,0
JgYfZAjOgEM,Comment down questions in my newest video ＼(^o^)／,0
9VjKMTwFXMw,Amo toda tú música,0
sUDEJHbDvWw,Take that fucking thing off your head and escape before your man shanks you,0
dB-RqoR_MCI,"Just wanted to say how much I enjoy your vlogs, you're just so lovely, have a wonderful day! xx",1
IUkNNDg18mY,Will you make any videos with Ian ever again?Ever?EVER?,0
5UPm14CqYgk,Yo I went to that golf course and got the ball in the middle at the end You get a gold coin,0
fwDZ8uhqJg0,This is Eric Church.,0
WDHaHHJLOzs,what a clown fiesta,1
hZmoMyFXDoI,와 진짜 짱 귀여워..,0
Bn7ZtoFTm2Y,"I totally need some good hydrating products because my skin has always been combination/dry, but recently it has been sooooo dry and it's so uncomfortable! Thank you for this!!",0
wUHWzsF_qJM,Crazy creepy cool!,0
#NAME?,"Haha josh and ollie look like a happy gay couple in the thumbnail    Congratulations Ollie, hope Juno grows up all healthy and beautiful xx",1
Pxojz6grwcU,Why hollywood wont hire mad cow disease anymore.,1
dw0sjXiU4IE,"i'm stuck between wanting to be her, and wanting her.",0
eiGhNN_wReA,What about mascara?? I know it's hyped but I do love the new loreal paradise one. It's so good! I also use the simple cleansing oil love it to take off my makeup xxx,1
xHvVhhFvLtY,8 MILLLIOOOOOOOOOON,0
qdWUQGHtyPk,how many times has trump disrespected our country and no one calls him out on it and when they do its called fake news its sad that he is allowed to get someone fired because he wants to show how big he is? wow America i hope he demands others to get fired for his ego maybe then people will open there eyes,-1
oEs0BP0i1Ro,you think she does coke,0
c5vSFtnWkDA,You guys have a beautiful home,1
_DAUmz188l8,I wonder why they didn't make the screen bigger. Should have went with a 3 screen,0
XV1EkoGWong,Happy birthday Nick Jonas. YOU'RE SO HOT. Ok bye.,1
3ImE5jhnOt8,Good god his tone of voice is so crazy its like hes excited about every single sentence that comes out of his mouth oh my god!,1
C1wa2OyP_so,You forgot the refugees,0
Lk7iJthBk6I,Wow shook ️️️,1
SmTvoFcy4_Q,Any suggestions if you can't have eggs or dairy?  I've the worst allergies :(,-1
#NAME?,B I O L O G I C A L    L A N D M I N E S,0
G6LbbzXBwVQ,You look soo beautiful! Where is your top from? X,1
Mf27iEM5YWw,Your voice is so calming omg,1
byA77xkQBEE,"I really cant stand this bullshit anymore. I feel like a parent whos disappointed in their children. Every time some shooting happens I usually brush it off and forget, but good god damn this one just hurts. I cant understand it. The more I see and read, I mean, its just rough. I cant understand why anyone would do this to people. Innocent people just going to listen to some music. I hate what the world is becoming. I hate that I have to raise my son in such a fucked up, unsafe world.",-1
h9TlaYxoOO8,I WOULD DO ANYTHING FOR HER (WDSLM) youtu.be/MYm9bJUHN08  #stvincentfan,0
MiZCudqoFAU,Fake news,-1
cKC7EYi2Zyc,yass patrick.. put everybody on to this cinderella!!,0
8sDXUWNYwIM,Game plan pro tip: score more goals than the opposition.,0
GTfnzOgjRZ8,Common chels!!!,0
D1IBXE2G6zw,all the thumbs down are from republicans and russian trolls.,0
fu_YIpRnoa8,"This is so different from your usual videos but I absolutely love the different feel! And I can totally relate still. There are simply books we'll never read, for one reason or another. But it's okay.",1
_elREWy6f9w,Hank needs to watch Wallace and Gromit and the Curse of the Were Rabbit asap,-1
AI9gBDrccZ8,Hennessy Looks like a Don!!,1
ONt_ajHfSiw,️it was done before it was over,0
wiBhzhQu_2c,"I'm really loving the tutorials! Would love it if you did these types more. But then again, I love all you put out ️️",1
g6piCiaGMZs,Can you please make a giant taffy apple cake?!?!,1
q68xUVH3qiM,"If you have Netflix & haven't seen Kick Kroll and John Mulaney's show Oh Hello, you are missing out. It's their stage production on Broadway and it's hysterical. :)",-1
xUSJ4XK2UXg,"What the sound, what the powerful song was this. It will be becoming more popular  than i think.",1
L1yWH6QSP4k,She looks black to me,0
EZEi-87vLqE,"Love the makeup, hair and the clothes ",1
gmXuUgB7T3Y,"Do you have issues with getting small holes in your t shirts? I don't know if it's just because I purchase cheap shirts, but I'm hesitant to splurge because I'm afraid it may happen anyways",-1
RpE_vEzZYD0,"So they're talking about Rafa, how he stayed, how he's brought them back to the premier league then Lawrence is like so what influenced u to retire Alan I'm sat here gripped with them talking about Rafa and he just back tracks, like, do u even know what you're doing m8? Wtf?",0
dYLYnuoSrdU,I don't know why I was excited when Emma was doing the unboxing part,1
f4kmZpXGqlw,This one of the saddest videos i ever watched. Good bye Tom. The world misses you.,-1
o9n3bR8VMW8,ii loveeeeeeeeeee this music,0
w4SKo5jU64I,Communion,0
pe3KSYqPIgo,Also mat to let you know Poseidon is the god of earthquakes horses and the water just to let you know,0
wUHWzsF_qJM,"Omg lool, that intro.",0
vdUum-zVcZc,I love you ı come from your live,1
lIY6zFL95hE,M E T A L L I C A  O N E,0
r9-DM9uBtVI,disaster will happen,-1
pPOY00bWepQ,Yay!! love these videos Anna xx,1
twzJzolIl_A,They're playing airsoft,0
VfjjiHGuHoc,i heared a chris king hub i might be wrong tho,-1
Ap5hoCTkTUM,This is me when Im in public...,0
p_P9J97ELlg,"Same here in south Florida. We went only two days without power. We are extremely lucky. We offered everyone we know our home. Some got power back, some haven't yet. Happy you and loved ones are safe. In the process of helping family in Puerto Rico and helping people from the keys and Naples.",1
ueenKCyGINg,Did he throw a water  bottle  at you?,0
zqbYukKfnEk,Cuz he's gay all the comments are sucking up to him lmao,1
brfBImsXR6k,We all remember how Johny Hendricks gave a face care to GSP so the end here is pretty clear,1
RfG7VvIrk-c,J'ai pas compris,0
iL_-GwbEP4g,Please tour,1
LgdUntA__WQ,BULLSHIT....Lavar is a great Father look at the results,1
7k8PFMQQIxI,"Hauntingly beautiful, I wasn't familiar with it but now I'm so glad I found it. Still waiting for the video of Bohemian Rhapsody. And I would still like to request Who Wants To Live Forever(maybe another one with your patreon's?)",1
73GicaeMo_E,"If a bunch of toddlers torn apart by gunfire didn't do the trick nothing will. Y'all are doomed to relive this nightmare over and over again. With every new incident the chance of somebody you love being among the dead increases. From Holland, with love I wish for all the sane ones among you to be spared.",1
wHrpTT1-fPg,BILLBOARDS HERE WE COME,0
dYLYnuoSrdU,"Yesterday I saw Emma live at the guides big gig, she was amazing!",1
ZBExj2SlNTw,MEGA EXCELENTEEEEEEEEEEE!!!!!!!!!!!!!!,0
Uiccgh2GXzs,"Chris goes above and beyond to explain things in his videos, literally. The drone footage was a nice touch. Kudos mi amigo.",1
rcEyUNeZqmY,I can't  stop to watch mv! this is art! OMG!,0
xfQvngEXob4,CinemaSins please do Gremlins 1 and 2,1
Gv69uNr3Tf4,Is he blind like can't see or...      Am I just stupid?,-1
abeF5zQbQEM,Like your new character style,1
AYcIaKpqE1k,Been waitin foe this,-1
924olvhb2pU,Holy shit this is perfect. I really hope we get to see more stories from this world in different formats.,1
yB9pN0H7saA,Who is this bird again?,0
x2IttXFBYxc,issa song,0
3QzUSSKfEeA,Should be Offset ft Gucci,0
XM23h-eJ08A,Should do some tricks with a magician.   Penn and teller maybe. Also some awesome putt putt with golfers,1
zEZQ9v4h85k,Easy tap in,1
8I1B4n_8Cto,I think I was 15 or 16 when I watched Loser on MTV and now watching this I'm 39 wtf?,-1
Z0mzCVe_onw,I love how he broke charavter and everything to make his point about her only knowing the boys names.,1
BqL9T0_ClUg,"THE MOST RESPECT PIMP IN THE WORLD,,REST IN PEACE.",1
noVEvsozyug,"YSAC, sorry your dates dont work out. Invite me over, I'll read all your subliminal messages and even stay for ice cream.",-1
LolP3Y7_Irs,jajajaja minute 0:37 jajaja wow sexy and hot and minute 2:01 his scream of very very woman jajaja,1
Uiccgh2GXzs,"If you haven't done a video before on it, can you show how to wire after market speakers/subs?",0
4kX7iBnoivA,"Didn't love the original Blade Runner to be perfectly honest. However, this one blew me away in every way possible. It added to the original for me in so many ways. I feel like when I go back to watch the original that it will now have more emotional weight and that is what a sequel should do.",1
EZEi-87vLqE,love the boots and your make up is perfect Lily!,1
IwiQGsFbJEc,arhn.eu - teraz tylko znajdźcie działającego Polybiusa i możemy zamykać,0
CItEtnp3nPY,Take my money ALREADY,0
tfZvSS_f254,"Yeah... loving people with open arms who have fully automatic weapons pointed at our chests ready to pump lead into us is the best thing to do. No, fighting back is islamaphobic and racisit. *heavy sarcasm*",1
IRdrt8nPyy8,Yeaaaahhh,0
SVyVAJPHob4,Amir kahn in the background,0
sgBGvgxuXvQ,"Oh my  another one I will have to have a try at making, thanks Jemma",1
uNseVux0CA4,Crushed it,-1
i9bkKw32dGw,"Sonic 3D Blast was way underrated, I loved that shit even though it wasnt that great in retrospect. At the time it seemed like such a cool step forward. I'd honestly love to just hear more about it, how it came to be etc",1
lbhnmwosgBo,Omfg he is actually absolutely fucking useless piece of shite,-1
gqYZLNMDVJc,Timeless...as of all the work of legends....none of his stuff sounds dated.,0
7KS2oJPzeZk,The bunny messed up @1:42.,-1
bu9e410C__I,Was not what I was expecting when I clicked on the trailer...,0
v_bbo1hUJeY,LMAO THIS WAS A AD AND I WAS LIKE WTF THATS CHERS VOICE WITH A RAP BEAT,1
3xsEUB-Az94,This was the perfect little vlog to watch on my lunch break! Was lovely to see Lily happy too.,1
hQbeB0YXLhs,i love your skin tone!!!,1
4tR_H21CuP8,Love your eye makeup with that hair!! So beautiful,1
WSFJsq_jwMs,So woow,0
e2jMJV6UHWU,Break out artist #100 (Charlie Puth feels though),0
hQbeB0YXLhs,so beautiful oh my goodness,1
o_6euFCz-qc,Ur accent is everything!!! And ur so beautiful!!,1
T58NGMrUp0M,You should do a video on Compaq Computers,0
90YP4ntJUQs,"This guy hasn't learned anything.  He doesn't need to be worried about football, he needs to be worried about his life and about his daughter that he has never met.  I guarantee that if he gets back on the football field and suffers a career ending injury, he will OD soon after if he doesn't get his head right.  Football is a privilege, not a right.",-1
QeBCu1ZSORs,youa,0
sjlHnJvXdQs,I was expecting more. C'mon you can do better. But OK.,1
cxLQAuQsOWI,No fucking way. Two of my favorite artists are singing together. I love this.,1
M6dtKk-UrWw,Is Samantha womwick eg Ronnie Mitchell eastenders the mum,0
YxC70Nr9ViU,My brother is Eduardos age and all he wants to do is strip off it's so funny but annoying xx,-1
3iKiBx7oCP0,"Michael have you tried Sportsgirl's eyeshadow palettes? I bought 4 of them and they're amazing! I think you should do a review of them, especially the Pretty as a Peach one and Burgundy one",1
bhTDq2t6UpM,all I can hear is Keith and I'm not okay,0
dSdSYmXCPXU,Spielberg !!!!!!!!,0
q1nvv1o1z3M,"Cod is to Internet hungry have to have real fast speed or you are always behind , I can't get fast enough Internet so.i hope this is as bad",0
KEJKtxib4yA,Saki vs. Roundtree is a dope ass fight.,-1
uQhr1sfgJis,It does take months... they just don't show it in the show,0
RLmqKBRqyA8,I'm about 14 hours in 1 person and have about 3/16 left to build,0
MiZCudqoFAU,So FAKE,-1
VUAP3ifwAl0,Karibu Kenya  cant wait for the visual vibes of the trip,0
D1IBXE2G6zw,So proud of JLo!,1
VfjjiHGuHoc,Hell yea Danny is reppin' Endura...bomb mtb gear,-1
AzNIUMW_G8M,I am so sorry for your losses. I promise you that one day you will be at peace again <3,1
ZQK1F0wz6z4,I feel so bad for Steve er.. Chris lol,0
RLmqKBRqyA8,I built that when I was in 4th grade haha,1
HsiWOp-ImoE,JANET,0
cVnkoYiWLgM,Why can't you have a double wall structure with pressurized walls and have regular pressure for the people inside?,0
BqL9T0_ClUg,"I'm so sad for Hef, he a great Playboy king, he gets golden.",0
1PzNy4OhwDk,"I really hope you do breastfeed! It's the most nutritious and wonderful milk for your baby and there's nothing quite like it on Earth. Make use of lactation consultants too who can and will make your breastfeeding journey easier.  Many women stop due to them thinking they're not producing enough, when in fact it's just the baby cluster feeding! Newborns eat constantly, it's their way of regulating your milk supply and will take around 12 weeks to establish.  If you haven't already, read up the science behind it all. It's incredible stuff! ️",1
xQap9P6g5_8,"I've been looking forward to this vlog! Times have been hard lately for me but watching you, and Anna, and your honest and real friendship/adventures gives me so much joy. I want you to know that ️",1
vlzHNY2SWps,Clicked because of Jack,0
wiBhzhQu_2c,Where is your top from?! So lush! X,0
HqHQFm5L6Zc,That cool,1
58R1G1XfQCs,<((Â)))><([,0
YgEjI5PZa78,"I had a hearing test at work last year in the little van that they pull into the  parking lot and cycle us through like cattle. While sitting in the little booth, I could see the reflection of the small laptop that was actually running the test. I noticed that when I could hear the tone, a red bar popped up on the monitor. ",1
wOskfnnbkdw,6:35 I just cringed into the next dimension,0
T_PuZBdT2iM,Me and my friend's German mom.,1
e2jMJV6UHWU,Reminded me of late JT songs,0
E5Hfl6Nqw3Q,This song did not go well like Soya Sauce on some Hotdog Buns,-1
qZVm-2nM0sA,good,1
2qiBTkVRp1U,this also screams for jennas rachet salon,0
TNhyrPaGFYQ,#YIAYbasic the most basic thing I've done is basic basic basic and basically I basiced,0
YeF_MnDfqmI,"no matter how good the song is, i never fully like music projects from people who are already famous/have a big fanbase. I mean the song is alright, but no better than some songs i've heard with less than 100 plays.",1
PnbKgdNUPlM,What model drone was that?,0
lLOEu9p80rE,Very creative.Great job! :-),0
h3aFZroZXe4,"it is impossible to score from distance. if shooting was like in pes 2013 or 16 it would be the greatest football. this is frustrating and stupid, not fun at all with this pes. realism is worthless without this. if someone can make it better or tell konami please do or we have another pes year wasted",-1
VRADv2uRQao,why are you using a butcher knife to break the tape,0
fUffrvUjwCY,damn it made me miss the good ol days,0
zqbYukKfnEk,babe your skin looks amaze,1
JcI8yn7xQWo,@2:41 in the tweet it should have said dark energy not dark matter right?,0
XV1EkoGWong,"GOD DAMN, LOOK AT ALL THE GIRLS HERE with wet panties, touching themselves over jick nonas.They all want to become pregnant by him.",0
7-PlbuWWceE,I love this kid! Defo would lead in the boxing ting! Only 19 or turned 20 ! Hella young,1
CYoRmfI0LUc,Serena Williams's daughter <3,0
FfRGxN2zeWU,"It's kinda weird to hear without YO multiple times...But still, this performance is close to perfection! Great job Angelica!For me, the finals will be between Angelica and Darci :)",1
2DTwXdqmRiM,ROLL TIDE!,0
wWK5W1b17uw,Can you make A Giant Resse's Bar,0
EQkdqhyKMdk,Ok him h UK I'm,0
5iS_9deMr3s,I like a combination of professional photos and selfies! They both show something different :),1
b6utGZQ9Sks,The ferries are direction controlled water kites. Are there any tethered kites or blimps used for moving people or stuff through areas of consistent air currents using the same principle?,0
zgLtEob6X-Q,DO GAME OF THRONES SEASON 6 & 7 !,0
wHSJljq_41I,"Ive never been into fashion. I only wear graphic tees, skinny jeans, and converse. But connor made me really inspired for masc/androgynous fashion and I love it.",1
R1ZXOOLMJ8s,October 27th,0
Ybbii2XIavU,That looks really delicious yum!,1
lRrHALK5b_I,Could you link the glasses please?,1
wenFLUp44Fg,Love your  Sunday videos Anna! The leopard print boots are still so beaut,1
VVFXM0KtvwI,Just take the bus.,0
0bcHEsmmpzU,Worcseshershirshire Sauce!,0
03IUgOd4GH4,They just casually have a fcking Segway,0
5DG26XDPpB8,"has any one even notice the tree that the guy is next too has a face! come one people just take a look at it. Eyes, nose, mouth. if you look closely enough you actually see like it has some arms and legs morphed into it. lol",1
GoJsr4IwCm4,"My only issue with slowing down/stopping the process of aging is that there is a limited amount of resources on the planet, and less people dying is just going to overtax them even more then they already are",0
DU-oxt3ekZ4,"It's so strange, I feel exactly the same. I can't actually tell you what is wrong but I'm feeling very heavy (the best word to describe it). So today i didn't even go to uni. Hope you're having a good day today :) love you!",1
0pwttmAYCTw,it's so amizing!,0
MdzGZv3zQ-U,"BamBam didn't put the jalapeños in the sauce, y'all. That's why they put in the 'ends'. Still, though, I'd have picked his hands down. Yum!",0
mNGGfLV3amY,Omg bubz you lost alot of weight!,-1
3fILUAGw2mE,Can you make a vidio on dragon ball z,0
n54-eEvoMpg,NEW VIDEO PLAN: Why 102 million Filipino has Slow Wifi,0
Y8kAZAQ5dX0,GOOD ONE ALEX,1
ame5L8HJ6i0,"We need a Harry Dean Stanton sings Country album, ASAP!",0
Z-LmHjkN2EU,Lum yeh mo yeh,0
0AaApxaD170,Please do a lock shock and barrel tutorial before Halloween,0
UkMZJrbCRdQ,western farming was always broken. many eastern and indigenous cultures have already mastered techniques. doing it the best doesn't always mean doing it right. mass farming was a good move in the wrong direction.,0
bvomHFZO0mk,Book of life was a good movie. And they know that.,1
aMhB9sj3J6Y,Trending congrats TOM,1
fcubmjoGH7I,I beg you do a 2017 room tour,0
JV1NB70gLQI,MEELO? MEEELO? WTF,-1
#NAME?,someone pls report that sex comment i dont know,0
XM23h-eJ08A,next one play with manchester united,1
kwANDfkOskg,Yes my man's back,1
KFOZbLzp68c,Hahahahahahaha,0
ouJwpthMfkY,"Maybelline Concealers ALWAYS burn my under eyes depending on the amount I apply. Drugstore concealers just have not worked for me, other than LA Girl!",0
PLDJQondOQE,2 buckles * 2 belts = 4 belts. that's pretty cool,1
x_Akn8fUBeQ,How is this trending??,0
y0NyGGFVZWA,Wow...,1
MBdVXkSdhwU,SHOCK ! 50 MILLION VIEW IN ONE WEEK !,-1
HyDpetSeXtc,"poor Stevie, everytime he opens his mouth to tell everyone to open their hearts and eyes, he gets into trouble. i hear even some pastor is after his neck. sounds familiar? the last time a popular man opened his mouth to tell us things we didn't want to hear, he got crucified ;)",-1
2FTxKFsWz60,"Edison is a thieving, lying, piece of shit.",-1
qIRl8taMSAQ,The BOURGOIUSE1 howevr u spell that,0
6x62O8A8qHw,Dopeeeee!,0
OY_cUBpDoiI,#yiaypoint Find a comment In the video that Rages so Shittily it makes you wan Tiled floors,-1
EPUHs9cjhOs,i just knew this video would be backwards chills and thrills thanks guys,1
Q07Cp6tswnQ,"We are getting there, greetings from the DR! Anything new in the future for the channel? Perhaps more software reviews?",1
LXAU1VqbYbo,Who were with you?,0
XE5D_Z1MmBA,he just wants to get in her pants,0
HIdRXXjIthQ,Why on earth do I keep on watching these videos when they make me cry so much! But I love that animals are rescued,1
PRXoekKxu4o,No stalker Danny since the last sighting..,0
BEW_n1922vk,This is beautiful,1
WYfIn4ggDAg,Does anyone know where her jumper is from?,0
eP_LYrgztRI,Thanks for doing this Jackie!,1
xaAFq3P-tOo,Ooo,0
FwCCxSS9VkI,What's Lukaku doing here?,0
R1ZXOOLMJ8s,I have watched this trailer so many times and it only came out Like 2 days ago! Honestly so excited for season 2!,1
4xbFVdoRzLQ,"The problems of low iq ppl are caused  weed doe, it",-1
TieEBM7wumc,LOL - So Blade Runner is doing exactly the same thing that the Matrix did with the Animatrix - small vignette animation to fill in the timeline - and they end up pretty much the same plot point. Thank you for destroying my hopes for 2049 with the dated supremacist vibes.. and the jihadi nexus doesn't get blown up by the explosion?,1
4xbFVdoRzLQ,Heres how you stop a nuke:  Call Superman,0
XA_jAJ-dWyQ,COLLEEEN! I'm here from Snapchat and I am absolutely taken with how Guss Guss is so caring towards Daisy. They are so unbelievably cute and I love them both so much!,1
P00HMxdsVZI,I PUT THE SING IN SINGLE...best part of the song,0
_StIv9i6as4,It would be awesome if you do workout video!!,1
VX9IAt75P28,the finger is grossing me out idk why.,0
AoQMHzkj2x0,me is madison beer because i like her,1
KFOZbLzp68c,You were unlucky tbh. We go again Saturday evening and no doubt in our minds you will give us a ridiculously tough time. All the best for your club for the future and hope you get the results you deserve.,0
#NAME?,I don't know what happened with youtube but your video was not in my subscription box. Am I the only one?,0
IHi5jq2P_Zk,I love her shes such a babe,1
a9ITIaKzG3A,Probably the best COD trailer i have seen in my life. Not going to lie.,1
SPZFN6VFFow,"Gunman's brother is a little quirky, too......",0
UONnRMuuDps,I sooooo freaking love this songbetter than originali love little mix sooooooooooooo much,1
lg0ldbwZhPQ,Heya People! This Is Wonderful! I Got 𝔽𝕣𝕖𝕖 𝔸𝕞𝕒𝕫𝕠𝕟 $𝟙𝟘𝟘𝟘 𝔾𝕚𝕗𝕥 𝕒𝕣𝕕 Here  >  #Topfreegiftcardsin2017now,1
JdqUUKEATiw,"Izotek to była najlepsza decyzja, jaką kiedykolwiek podjęłam",0
aarBJqitCJE,I still can't move on.. this is heaven,1
Fzz-Pblbvqw,Nobody has a love/hate relationship with these sheep.,0
65fZOBR0pmM,Saw her peform this at Howard Theatre a few weeks back.. best song of the might,1
GMMigjW3q78,"Alright, Now if they can pull off a Figure-Four or a Sharpshooter, then maybe Ill watch an MMA match.",0
UkMZJrbCRdQ,"go ahead, MinuteBollocks, recycle your resources - EAT SHIT! *eating this shit video doesnt count.",-1
JLgUdZ5_CDg,First,0
qXH1dVI8Jic,Have you guys noticed how she can't stop staring at Gal Gadot!!!,0
fUtlqtdn1Xo,This shid tight,0
xHvVhhFvLtY,Who dislikes these videos? wtf,-1
hmhlamsHW04,"God, my calves are killing me just watching those 16 rises     Relevés and frappés were my most dreaded exercises in ballet lmao",-1
uAI5rSiGyNY,YAAASSS SUPERFRUIT. would your fans be called fruitflies?,0
cq50fkILrwM,Said this before but love your favourite videos and also your eyebrows look so good!!,1
#NAME?,it's not funny..,-1
_38JDGnr0vA,"Beautiful music,breathtaking images",1
jmc7aUVKCMA,Can you explain about space debris?,0
G_SjnHwxWMU,Damn this shit is good,-1
ZYSjPZUqLdk,"A year later, you libtards still can't get over trumps win  you guys are a bunch of snow flakes ",1
HcedcEr27ZU,Love this!,1
